som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(8, 8)",0.3,2.5,bursty,0.24468571793914717,0.5381772105402483,0.030711540097487534,0.8275,0.0281891607173696,0.3916168889087929,0.024862051010131836,"[66, 31, 32, 24, 62, 35, 19, 131]"
"(8, 8)",0.3,2.5,periodic,0.27085615354007764,0.5247856550717102,0.03491508677851273,0.8275,0.02742107852182689,0.38374478941537626,0.021666765213012695,"[9, 109, 24, 59, 30, 38, 26, 105]"
"(8, 8)",0.5,1.0,mixed,0.25224083506273265,0.5500762585653236,0.025919890685160915,0.82,0.03562604081623277,0.39627359352381564,0.02219700813293457,"[32, 104, 21, 24, 70, 46, 33, 70]"
"(8, 8)",0.5,1.0,bursty,0.2704363029036585,0.5989884560127661,0.015030107923385242,0.8025,0.08704668331836253,0.42155104400663135,0.019814491271972656,"[46, 53, 46, 37, 51, 37, 70, 60]"
"(8, 8)",0.5,1.0,periodic,0.276470479316143,0.5723919668327959,0.021295096915808397,0.78,0.023614925477820337,0.40058593253869373,0.027468442916870117,"[22, 16, 59, 13, 139, 29, 32, 90]"
"(8, 8)",0.5,1.5,mixed,0.24324774525149995,0.5568455531141139,0.03627691483457823,0.83,0.05117577306415509,0.40202531656470847,0.02465057373046875,"[47, 62, 38, 27, 36, 42, 58, 90]"
"(8, 8)",0.5,1.5,bursty,0.25188026553321724,0.5238567902546257,0.05718808964671943,0.82,0.03072424753200374,0.3896281635497379,0.0256044864654541,"[126, 34, 64, 21, 30, 28, 50, 47]"
"(8, 8)",0.5,1.5,periodic,0.2957756968819837,0.6064324967207994,0.014953754939086674,0.805,0.06797491551231064,0.41220052569996324,0.02124190330505371,"[71, 34, 39, 52, 53, 36, 44, 71]"
"(8, 8)",0.5,2.0,mixed,0.23938283479201988,0.5342036727401304,0.029820071611215988,0.85,0.031140329237030088,0.3882387917997468,0.024662017822265625,"[31, 68, 42, 41, 45, 32, 17, 124]"
"(8, 8)",0.5,2.0,bursty,0.22042377163079388,0.4319884252651982,0.08856261165217832,0.8275,0.036945056441376786,0.37779745612078824,0.01523733139038086,"[97, 61, 34, 20, 15, 56, 42, 75]"
"(8, 8)",0.5,2.0,periodic,0.27212701020620483,0.5765823597424197,0.023069636708967105,0.8125,0.03185397543306233,0.39819817381853084,0.0250091552734375,"[71, 43, 42, 30, 57, 27, 13, 117]"
"(8, 8)",0.5,2.5,mixed,0.2401423215824381,0.5335008882100233,0.0225803552192516,0.8475,0.041971970040435874,0.39169948745305194,0.02856588363647461,"[40, 45, 49, 33, 52, 46, 28, 107]"
"(8, 8)",0.5,2.5,bursty,0.26117984201448285,0.5893984282313951,0.03661711290335327,0.8025,0.040159292951221816,0.40729997196994117,0.03250622749328613,"[107, 31, 35, 26, 57, 40, 51, 53]"
